speaker_ID,speaker_gender,non_likable,secure,attractive,unsympathetic,indecisive,unobtrusive,distant,bored,emotional,not_irritated,active,pleasant,characterless,sociable,relaxed,affectionate,dominant,unaffected,hearty,old,personal,calm,incompetent,ugly,friendly,masculine,submissive,indifferent,interesting,cynical,artificial,intelligent,childish,modest
175,female,53.6,58.733333333333334,39.333333333333336,37.93333333333333,39.8,67.2,48.13333333333333,60.8,28.266666666666666,54.6,40.46666666666667,49.53333333333333,47.46666666666667,41.333333333333336,68.6,48.13333333333333,46.06666666666667,63.06666666666667,46.357142857142854,46.666666666666664,41.13333333333333,70.73333333333333,48.53333333333333,49.733333333333334,59.6,38.733333333333334,64.73333333333333,63.666666666666664,40.2,47.0,40.4,45.53333333333333,41.13333333333333,57.13333333333333
176,male,32.8125,60.0625,55.9375,32.875,42.0,59.6875,31.1875,29.1875,66.875,72.375,64.5625,59.125,46.125,71.875,54.5,60.9375,48.25,56.5625,69.25,29.125,48.5,52.6875,46.5625,39.125,73.75,78.4375,54.625,43.0625,58.5625,40.625,36.375,51.25,60.1875,48.75
177,male,69.0625,60.9375,38.5,54.375,32.4375,64.3125,66.25,64.4375,31.5,50.1875,36.375,48.6875,62.9375,42.0625,62.5625,34.25,54.6875,67.4375,37.666666666666664,46.375,41.8125,67.3125,50.1875,57.875,54.875,84.1875,51.4375,68.0625,36.5,48.3125,46.625,44.75,45.0,54.8125
178,male,51.13333333333333,60.06666666666667,52.733333333333334,30.266666666666666,38.733333333333334,62.86666666666667,53.2,34.86666666666667,54.46666666666667,63.6,63.666666666666664,59.46666666666667,44.266666666666666,62.46666666666667,59.266666666666666,57.0,51.46666666666667,65.73333333333333,65.06666666666666,53.8,33.13333333333333,61.0,34.4,39.86666666666667,73.4,81.66666666666667,57.2,42.46666666666667,56.53333333333333,39.46666666666667,46.333333333333336,63.53333333333333,32.53333333333333,59.53333333333333
179,male,57.42857142857143,58.357142857142854,39.714285714285715,56.785714285714285,41.5,63.42857142857143,55.214285714285715,59.642857142857146,32.214285714285715,57.857142857142854,40.857142857142854,52.42857142857143,51.285714285714285,40.357142857142854,67.14285714285714,39.142857142857146,48.42857142857143,58.214285714285715,34.84615384615385,47.642857142857146,35.57142857142857,71.64285714285714,47.42857142857143,46.5,50.857142857142854,78.85714285714286,57.357142857142854,61.714285714285715,43.214285714285715,41.714285714285715,46.42857142857143,56.714285714285715,42.07142857142857,64.92857142857143
180,female,37.125,49.3125,57.9375,32.375,45.8125,63.5,42.25,43.8125,53.5625,65.5625,49.4375,61.0625,45.75,47.3125,48.75,53.8125,41.5625,52.5625,58.2,22.25,41.6875,60.0625,39.3125,38.875,69.375,9.875,62.125,50.4375,49.0625,36.8125,39.1875,59.4375,65.4375,56.25
181,female,50.125,39.5625,48.25,49.5625,53.375,53.5,51.6875,40.5,53.375,61.75,47.5625,53.875,51.5625,46.875,42.375,56.0625,44.25,46.375,48.1875,39.75,41.125,41.5625,48.625,46.0625,53.0625,18.6875,51.875,43.1875,49.625,42.5625,43.8125,48.875,40.0625,60.5
182,male,33.92857142857143,62.714285714285715,58.07142857142857,35.857142857142854,55.785714285714285,66.5,39.07142857142857,36.142857142857146,55.142857142857146,72.64285714285714,63.07142857142857,67.92857142857143,28.071428571428573,58.857142857142854,67.5,56.857142857142854,55.214285714285715,64.85714285714286,70.5,43.42857142857143,38.5,69.5,42.42857142857143,35.142857142857146,64.28571428571429,75.92857142857143,52.357142857142854,34.857142857142854,55.285714285714285,39.357142857142854,28.785714285714285,66.42857142857143,33.57142857142857,59.0
183,female,38.93333333333333,43.8,61.333333333333336,37.733333333333334,40.666666666666664,57.6,32.266666666666666,26.666666666666668,72.53333333333333,73.06666666666666,60.93333333333333,65.8,46.4,67.0,50.0,75.06666666666666,34.53333333333333,50.733333333333334,77.46666666666667,19.866666666666667,50.266666666666666,51.06666666666667,47.0,32.733333333333334,78.86666666666666,5.533333333333333,66.46666666666667,28.4,63.53333333333333,35.46666666666667,50.733333333333334,49.666666666666664,71.0,64.06666666666666
184,male,41.6,59.4,51.666666666666664,33.4,40.4,66.4,40.0,33.06666666666667,55.93333333333333,66.53333333333333,64.93333333333334,58.46666666666667,42.4,61.53333333333333,60.0,59.13333333333333,52.666666666666664,59.4,59.93333333333333,27.4,31.266666666666666,51.333333333333336,38.0,48.13333333333333,65.93333333333334,74.73333333333333,56.0,37.666666666666664,57.13333333333333,42.6,37.733333333333334,60.333333333333336,49.666666666666664,53.2
185,male,44.07142857142857,62.285714285714285,54.0,39.0,30.857142857142858,60.5,44.214285714285715,42.5,44.785714285714285,59.857142857142854,56.642857142857146,63.785714285714285,41.57142857142857,58.0,66.42857142857143,53.357142857142854,56.07142857142857,56.57142857142857,62.61538461538461,35.214285714285715,41.142857142857146,60.142857142857146,37.57142857142857,44.07142857142857,67.64285714285714,81.5,45.857142857142854,41.285714285714285,55.0,48.642857142857146,54.357142857142854,55.92857142857143,35.357142857142854,51.857142857142854
186,female,48.94117647058823,54.76470588235294,55.705882352941174,39.94117647058823,40.705882352941174,55.529411764705884,42.94117647058823,42.76470588235294,45.05882352941177,68.76470588235294,54.294117647058826,53.529411764705884,50.588235294117645,54.1764705882353,57.0,45.470588235294116,46.8235294117647,56.23529411764706,52.76470588235294,25.470588235294116,43.23529411764706,58.705882352941174,41.470588235294116,42.23529411764706,57.1764705882353,18.941176470588236,47.76470588235294,50.88235294117647,57.705882352941174,46.88235294117647,43.35294117647059,55.411764705882355,52.705882352941174,50.88235294117647
187,female,61.714285714285715,47.214285714285715,40.642857142857146,54.357142857142854,49.142857142857146,52.857142857142854,43.857142857142854,48.0,53.857142857142854,53.5,51.357142857142854,48.785714285714285,44.92857142857143,52.0,40.5,48.714285714285715,47.785714285714285,47.357142857142854,58.15384615384615,33.214285714285715,46.92857142857143,40.714285714285715,53.07142857142857,51.785714285714285,58.714285714285715,22.142857142857142,50.92857142857143,45.285714285714285,44.285714285714285,43.642857142857146,51.642857142857146,44.785714285714285,55.92857142857143,49.857142857142854
