"sample_heard","F0semitoneFrom27.5Hz_sma3nz_amean","F0semitoneFrom27.5Hz_sma3nz_stddevNorm","F0semitoneFrom27.5Hz_sma3nz_percentile20.0","F0semitoneFrom27.5Hz_sma3nz_percentile50.0","F0semitoneFrom27.5Hz_sma3nz_percentile80.0","F0semitoneFrom27.5Hz_sma3nz_pctlrange0.2","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","loudness_sma3_amean","loudness_sma3_stddevNorm","loudness_sma3_percentile20.0","loudness_sma3_percentile50.0","loudness_sma3_percentile80.0","loudness_sma3_pctlrange0.2","loudness_sma3_meanRisingSlope","loudness_sma3_stddevRisingSlope","loudness_sma3_meanFallingSlope","loudness_sma3_stddevFallingSlope","spectralFlux_sma3_amean","spectralFlux_sma3_stddevNorm","mfcc1_sma3_amean","mfcc1_sma3_stddevNorm","mfcc2_sma3_amean","mfcc2_sma3_stddevNorm","mfcc3_sma3_amean","mfcc3_sma3_stddevNorm","mfcc4_sma3_amean","mfcc4_sma3_stddevNorm","jitterLocal_sma3nz_amean","jitterLocal_sma3nz_stddevNorm","shimmerLocaldB_sma3nz_amean","shimmerLocaldB_sma3nz_stddevNorm","HNRdBACF_sma3nz_amean","HNRdBACF_sma3nz_stddevNorm","logRelF0.H1.H2_sma3nz_amean","logRelF0.H1.H2_sma3nz_stddevNorm","logRelF0.H1.A3_sma3nz_amean","logRelF0.H1.A3_sma3nz_stddevNorm","F1frequency_sma3nz_amean","F1frequency_sma3nz_stddevNorm","F1bandwidth_sma3nz_amean","F1bandwidth_sma3nz_stddevNorm","F1amplitudeLogRelF0_sma3nz_amean","F1amplitudeLogRelF0_sma3nz_stddevNorm","F2frequency_sma3nz_amean","F2frequency_sma3nz_stddevNorm","F2bandwidth_sma3nz_amean","F2bandwidth_sma3nz_stddevNorm","F2amplitudeLogRelF0_sma3nz_amean","F2amplitudeLogRelF0_sma3nz_stddevNorm","F3frequency_sma3nz_amean","F3frequency_sma3nz_stddevNorm","F3bandwidth_sma3nz_amean","F3bandwidth_sma3nz_stddevNorm","F3amplitudeLogRelF0_sma3nz_amean","F3amplitudeLogRelF0_sma3nz_stddevNorm","alphaRatioV_sma3nz_amean","alphaRatioV_sma3nz_stddevNorm","hammarbergIndexV_sma3nz_amean","hammarbergIndexV_sma3nz_stddevNorm","slopeV0.500_sma3nz_amean","slopeV0.500_sma3nz_stddevNorm","slopeV500.1500_sma3nz_amean","slopeV500.1500_sma3nz_stddevNorm","spectralFluxV_sma3nz_amean","spectralFluxV_sma3nz_stddevNorm","mfcc1V_sma3nz_amean","mfcc1V_sma3nz_stddevNorm","mfcc2V_sma3nz_amean","mfcc2V_sma3nz_stddevNorm","mfcc3V_sma3nz_amean","mfcc3V_sma3nz_stddevNorm","mfcc4V_sma3nz_amean","mfcc4V_sma3nz_stddevNorm","alphaRatioUV_sma3nz_amean","hammarbergIndexUV_sma3nz_amean","slopeUV0.500_sma3nz_amean","slopeUV500.1500_sma3nz_amean","spectralFluxUV_sma3nz_amean","loudnessPeaksPerSec","VoicedSegmentsPerSec","MeanVoicedSegmentLengthSec","StddevVoicedSegmentLengthSec","MeanUnvoicedSegmentLength","StddevUnvoicedSegmentLength","equivalentSoundLevel_dBp"
"m028_debrecen_stimulus.wav",23.79231,0.1980861,21.69933,23.85147,25.36119,3.66186,361.2689,422.8071,170.1273,362.4135,0.4622617,1.148356,0.002756095,0.1840669,0.920794,0.9180379,11.23158,6.972404,9.640303,8.126856,0.2920806,1.183557,14.21476,1.51978,11.21481,0.869786,7.331053,2.410383,15.08526,0.6392428,0.04916296,1.387626,1.647388,0.9645883,4.40683,0.9589763,9.039074,1.404944,28.15262,0.4485743,614.1605,0.4264188,1280.353,0.229623,-118.1281,-0.7568634,1609.71,0.2122312,974.7408,0.2924961,-121.3367,-0.6983515,2675.164,0.1407859,879.4755,0.360834,-124.3512,-0.652537,-18.54419,-0.4766004,28.78462,0.3261149,-0.04293771,-0.9601619,-0.01592661,-0.8258814,0.5370749,0.6590834,31.83606,0.4660014,10.78266,1.054864,14.46042,1.000567,13.36346,0.9125775,-10.90684,19.02293,-0.02034714,0.004439548,0.08707884,2.52419,1.897133,0.2311111,0.2331354,0.2802273,0.4014434,-27.82114
"m030_sanaa_stimulus.wav",26.05482,0.1748179,23.78782,25.84924,28.78244,4.994616,479.0559,886.7747,235.9515,504.1452,0.4432724,1.071301,0.01940691,0.2254341,0.8429351,0.8235282,13.07096,8.013065,10.47235,7.132248,0.3559351,1.183578,15.81742,1.400501,11.79203,1.000255,10.10453,1.733085,11.227,1.075508,0.04755066,1.300602,1.666047,0.9580322,4.878131,0.8797039,4.845834,2.812779,28.07723,0.3538494,477.5108,0.4239101,1216.391,0.199869,-119.3808,-0.7694471,1425.235,0.1948258,935.0753,0.2845055,-124.6935,-0.6772752,2507.959,0.1082891,717.281,0.3271738,-128.0427,-0.627531,-19.4386,-0.4568095,29.30054,0.3243412,-0.0181641,-2.369097,-0.01438451,-0.9919685,0.6529672,0.7023362,35.07049,0.4429663,10.1719,1.398495,19.87678,0.6514021,3.609764,3.616388,-13.30923,22.62601,-0.03373978,0.006637146,0.1268041,3.489399,1.992032,0.2088889,0.1853192,0.2669565,0.4626195,-27.71929
"m033_tighina_stimulus.wav",26.63522,0.2491923,23.81726,25.85985,28.99232,5.175064,361.136,399.7906,85.31458,91.72441,0.4295377,1.363658,0.002773676,0.1539437,0.7604819,0.7577082,13.58603,10.80218,11.79453,10.11984,0.3594584,1.306833,14.08268,1.476545,10.65835,1.047011,10.12457,1.81781,12.40341,0.9018364,0.07828048,2.031625,1.793089,0.8708522,4.771317,1.013402,8.902287,1.936081,26.14583,0.5350211,559.6572,0.4593401,1245.406,0.2276361,-124.4483,-0.7093861,1559.181,0.1896832,1031.634,0.3191763,-127.3855,-0.6516511,2594.266,0.1310709,890.1671,0.3906694,-129.0028,-0.6216146,-20.40771,-0.5023468,29.85339,0.3657735,-0.05059161,-0.9243064,-0.0165871,-0.8125454,0.6793458,0.7775308,30.60085,0.5037217,10.22755,1.390225,19.25157,0.7442478,7.837184,1.748635,-13.80736,23.00477,-0.03182202,0.005874644,0.1202048,2.434975,2.164262,0.1887179,0.1846713,0.2592105,0.3853459,-28.02302
"m036_adducity_stimulus.wav",26.27263,0.228432,23.06057,27.66715,30.54325,7.482683,281.0485,495.053,130.9759,94.61757,0.3548073,1.514265,0.002708784,0.08432412,0.6115969,0.6088881,12.05467,8.009812,11.59434,8.653148,0.3187121,1.541487,11.84129,1.602756,12.21544,0.8140193,8.336659,2.252304,12.07071,0.979153,0.0784126,1.577344,2.181794,0.7724086,5.123857,1.388436,13.02237,1.541394,28.59481,0.4239706,501.5287,0.4236476,1206.151,0.2027217,-135.7107,-0.6317489,1522.232,0.1666064,923.0342,0.3509825,-139.9374,-0.5649067,2533.389,0.1168869,896.7061,0.4534973,-141.4995,-0.5408917,-20.85728,-0.4635369,30.91703,0.3469194,-0.02353977,-2.168334,-0.0176525,-0.7980031,0.7358567,0.8009555,28.23236,0.4633519,14.33172,0.8279505,17.6419,0.875688,5.198233,2.770758,-11.83595,20.50263,-0.01609149,0.003951513,0.08862907,2.101079,2.505695,0.1327273,0.09658637,0.2631707,0.3855781,-28.70484
"m037_willemstad_stimulus.wav",27.92642,0.1848375,24.70605,29.17645,31.1806,6.474556,188.625,145.1876,101.6359,113.5947,0.529427,1.023051,0.004574248,0.4255382,0.9526401,0.9480659,10.71576,6.087487,11.45555,6.944844,0.3735005,1.082172,16.26819,1.338089,9.60824,1.061708,10.07619,1.924381,11.02186,1.106696,0.08257273,1.615413,1.636173,0.9311711,5.066483,0.9031544,6.666027,2.730393,24.94649,0.5824559,481.3326,0.4099001,1251.794,0.1885381,-102.7812,-0.9121124,1485.838,0.1776811,971.2632,0.2945508,-108.0468,-0.7943664,2514.765,0.1027648,845.0596,0.4444771,-110.6085,-0.7503256,-17.9511,-0.4665647,26.85364,0.3026773,0.005998326,6.621157,-0.01231241,-1.124285,0.6382048,0.5989075,32.12275,0.3973081,9.047084,1.261073,19.83021,0.7613282,7.164272,1.816891,-7.23666,15.10582,0.002431422,0.007790636,0.07712845,3.286638,1.998919,0.2545946,0.2255155,0.2184211,0.3800313,-27.89006
"m041_bucharest_stimulus.wav",25.55849,0.1837542,22.12799,25.68549,29.51977,7.391785,98.6139,91.86718,227.2045,594.3365,0.4978142,1.131211,0.006459992,0.3098045,0.9187537,0.9122937,12.52418,7.375196,13.4011,9.966929,0.3403613,1.160782,14.61574,1.40548,10.76116,0.9614094,11.96947,1.617692,12.09175,0.9878427,0.05380596,1.317203,1.767277,0.9153182,4.354539,0.8927348,11.3713,1.241663,27.45779,0.3873832,511.2722,0.4441815,1190.267,0.2019197,-112.4809,-0.8034585,1497.714,0.1840313,907.3198,0.3039995,-115.9407,-0.7280723,2532.451,0.1188646,723.7446,0.4595259,-117.8207,-0.6983742,-18.00453,-0.5082331,26.9264,0.3949373,-0.01910632,-2.146297,-0.009912732,-1.167993,0.6035666,0.63039,29.78994,0.4485362,9.781765,1.177975,23.60335,0.5583852,6.162171,2.152635,-9.456926,17.88989,-0.01511024,0.007757018,0.09614888,3.308026,2.175095,0.212,0.1767937,0.22575,0.3505345,-27.77487
"m043_colon_stimulus.wav",28.5248,0.2053536,25.34609,28.02389,31.10871,5.762621,684.7178,930.7283,77.46363,82.93434,0.3970056,1.185577,0.002686231,0.2119735,0.7842044,0.7815182,9.419496,6.724226,9.991594,8.421139,0.2867889,1.337633,17.32427,1.46771,10.30076,0.9544941,6.326215,2.923947,8.72737,1.527732,0.04950415,1.81783,1.559617,1.028113,6.309317,0.6822557,6.055779,1.250965,31.52829,0.3239925,576.0523,0.4027021,1257.007,0.2085381,-123.1947,-0.7348536,1564.733,0.2290925,1012.55,0.2909186,-125.039,-0.671674,2622.938,0.1323491,854.1106,0.3764862,-128.6698,-0.6188244,-19.4415,-0.4719802,30.11121,0.3311973,0.005535113,7.546546,-0.02199135,-0.8181993,0.560479,0.7286783,39.89936,0.3940793,8.180281,1.391328,16.08817,0.846629,-1.49005,-8.158875,-9.268507,17.61815,0.001458241,0.006256263,0.07582454,2.519496,2.045728,0.2035294,0.1849783,0.2724242,0.4304404,-28.52383
"m044_stanley_stimulus.wav",28.62592,0.2599246,24.64352,27.95833,31.33362,6.6901,245.6406,326.5508,251.6803,320.7127,0.506972,1.201949,0.002698758,0.1705583,1.063171,1.060472,15.71082,9.157469,15.14864,10.15364,0.3665778,1.22493,11.19232,1.840684,7.804177,1.326672,8.186348,2.469408,9.590288,1.293294,0.0467312,1.279401,1.72253,0.8202162,4.370139,1.021025,5.613738,3.265779,21.55249,0.5767347,525.4727,0.4283576,1197.15,0.2445087,-130.2944,-0.675781,1496.374,0.1776993,861.3929,0.3829653,-131.896,-0.6301703,2562.088,0.1176957,774.9175,0.4388415,-132.6161,-0.6107436,-13.73015,-0.6603938,23.25906,0.4670437,-0.01600398,-2.581487,-0.01041614,-1.347819,0.7450004,0.5756389,27.82576,0.6047565,6.119224,1.910888,19.13271,0.9542763,2.362447,5.591269,-8.878406,17.35167,-0.01057821,0.006550497,0.1209669,3.08977,2.259414,0.165,0.1454336,0.2816326,0.4832641,-28.04139
"m052_poonsaan_stimulus.wav",26.24613,0.2100637,22.88702,25.70101,29.35255,6.465536,492.087,1006.318,85.71428,135.8237,0.4872834,1.068926,0.01122436,0.3856208,0.8478996,0.8366752,10.85076,7.660776,9.46412,6.811126,0.3322394,1.10113,17.68298,1.281596,9.077312,1.405282,11.31175,1.649718,13.21456,0.7622757,0.05073059,1.678489,1.509434,0.9775954,5.204841,0.7807242,7.012108,1.873535,26.28093,0.517606,510.2351,0.4010352,1222.195,0.2042554,-107.1179,-0.8566725,1516.503,0.1969521,916.6183,0.3104052,-111.7024,-0.7616066,2525.087,0.121609,786.2838,0.3888173,-113.9079,-0.7250298,-18.79852,-0.500303,27.0775,0.3384053,-0.01365519,-3.243425,-0.01056154,-1.405509,0.5454079,0.6836733,34.90046,0.3969727,8.562799,1.676419,20.3597,0.6562759,10.3524,1.057912,-8.617207,16.79337,-0.01186861,0.008321046,0.1121866,2.989537,2.021715,0.2422222,0.2041574,0.2651064,0.3995894,-27.58078
"m053_cork_stimulus.wav",20.84231,0.1963267,19.32288,20.59303,22.37469,3.051811,124.386,125.5374,215.1539,338.0459,0.4864381,1.169273,0.003489423,0.23925,0.9003301,0.8968407,12.99319,9.26991,11.97707,8.668266,0.3928905,1.154018,13.52776,1.566793,9.897142,0.9927923,8.926937,2.139389,16.92352,0.7077755,0.05889647,1.66995,2.151664,0.8434799,1.48699,3.119334,8.161534,1.763809,25.4643,0.2803131,534.0106,0.5078769,1256.457,0.2082186,-122.5537,-0.7373654,1502.535,0.2193897,920.5143,0.28168,-125.4932,-0.6827486,2533.618,0.1473481,690.7156,0.3900062,-127.9175,-0.6463547,-16.48765,-0.4726862,25.42928,0.2946773,-0.03652807,-1.116988,-0.001084171,-13.73415,0.7091641,0.6568714,31.23344,0.4457238,7.557825,1.481494,18.8024,0.8033971,16.09586,1.010572,-10.61,19.37667,-0.02354564,0.008443638,0.1652274,2.678571,2.166745,0.1841304,0.1714335,0.262,0.4153049,-27.43233
