"","4","5","6","7","16","18","19","20","21","22","23","24","25","28","30","33","36","37","41","43","44","52","53","58","59","61","64","67","69","70","71","76","77","79","80","82","85","86","88","89","90","91","92","93","96","97","98","106","108","114","116","119","122","124","129","131","135","136","137","139","146","147","150","154","155","158","164","165","166","171","173","176","177","178","179","182","184","185","190","193","194","196","198","199","202","203","206","207","210","216","219","221","225","227","228","229","231","233","234","235","236","237","242","243","245","246","247","249","250","253","254","255","256","259","263","264","270","271","273","280","283","285","294","297","298","299"
"4",1,3.0637e-05,0.0021328,5.3167e-05,4.1962e-05,0.0019885,0.010006,3.2783e-06,1.4782e-05,3.8624e-05,0.35223,7.9274e-06,5.7817e-06,1.5616e-05,0.54708,3.5822e-05,3.3379e-06,2.0504e-05,8.0466e-06,0.0063232,0.00012434,8.4043e-06,2.1458e-06,3.8087e-05,2.5451e-05,1.9133e-05,1.1325e-06,1.6451e-05,1.6928e-05,2.4974e-05,0.048653,1.3709e-06,2.9922e-05,0.82635,7.987e-06,1.5497e-06,5.9605e-06,6.2585e-06,0.9518,4.6313e-05,0.00033534,0.022173,0.00095868,0.96446,1.7643e-05,0.00020814,1.8656e-05,4.8399e-05,4.53e-06,2.8014e-06,6.6459e-05,0.00074637,3.4571e-06,4.2677e-05,0.0006057,6.0618e-05,0.81891,8.1539e-05,9.5367e-07,0.0079423,5.3644e-07,4.7684e-07,0.0021054,0.17059,1.1861e-05,2.5392e-05,0.011128,4.4107e-05,5.1022e-05,5.7876e-05,0.00015134,0.00058132,0.62689,6.3241e-05,0.00080168,0.09157,0.014866,0.0011553,5.9068e-05,9.042e-05,3.612e-05,0.00031334,1.9073e-06,2.8133e-05,2.2531e-05,0.00010157,0.00015199,4.1127e-06,6.1512e-05,1.9073e-06,0.00083226,0.0001775,7.1526e-07,0.99927,3.5763e-07,1.5855e-05,0.99643,0.00032204,2.1219e-05,5.3644e-07,7.8678e-06,3.9756e-05,1.6868e-05,7.987e-06,6.3181e-06,0.78857,0.0040637,0.9643,1.7881e-07,1.7881e-07,2.4438e-06,3.0398e-06,5.9605e-07,0.0022109,0.77604,5.0664e-06,2.6464e-05,2.3842e-06,2.6643e-05,2.3246e-06,5.7817e-06,0.00068629,0.00033164,1.055e-05,0.0026205,6.3777e-06
"5",3.0637e-05,1,9.7156e-06,5.0306e-05,1.1921e-07,6.5565e-06,0.0095355,1.3113e-06,0,6.9141e-06,0.35205,3.0994e-06,5.4836e-06,1.2755e-05,0.54703,0,1.1921e-07,2.3842e-07,4.1723e-06,0.0063013,0,1.1325e-06,0,9.5367e-07,2.3484e-05,1.8537e-05,0,8.8215e-06,1.657e-05,2.8014e-06,0.048638,1.1921e-07,3.5763e-07,0.82613,2.265e-06,4.7684e-07,3.5763e-06,4.7684e-07,0.95177,3.5763e-07,8.1539e-05,0.022165,0,0.9644,1.1921e-07,2.3603e-05,1.049e-05,3.9339e-05,1.1921e-07,0,6.5148e-05,0.00074553,8.3447e-07,1.2696e-05,0.0006038,5.1618e-05,0.81858,7.8917e-05,1.1921e-07,0.0079361,4.7684e-07,0,2.5034e-06,0.17062,4.2915e-06,1.1921e-07,0.011126,4.375e-05,4.1485e-05,0,0.00015146,0.00058037,0.62684,5.8293e-05,0.00079459,0.091563,0.014845,0.0011461,5.8532e-05,0,1.5497e-06,0,9.5367e-07,1.2159e-05,2.3842e-07,0,0.00012416,1.9073e-06,0,7.1526e-07,0.00082773,0.00016272,3.5763e-07,0.99966,0,1.2636e-05,0.99627,0.0003221,3.6955e-06,0,0,3.2902e-05,0,7.1526e-07,3.2187e-06,0.79095,0.0040252,0.96417,0,1.1921e-07,0,2.3246e-06,1.1921e-07,0.0022562,0.77602,8.3447e-07,1.5736e-05,0,0,5.9605e-08,0,0.0006848,0.00030452,0,0.0025123,9.5367e-07
"6",0.0021328,9.7156e-06,1,5.0366e-05,1.1921e-07,6.5565e-06,0.0094668,1.3113e-06,0,6.9141e-06,0.35207,3.0994e-06,5.6028e-06,1.2755e-05,0.54727,0,1.7881e-07,2.3842e-07,4.1723e-06,0.006304,0,1.1921e-06,0,9.5367e-07,2.3544e-05,1.8597e-05,0,8.8215e-06,1.657e-05,2.7418e-06,0.048705,1.1921e-07,3.5763e-07,0.8342,2.265e-06,5.3644e-07,3.5763e-06,4.7684e-07,0.95179,1.5497e-06,8.1539e-05,0.022166,1.7881e-07,0.96439,5.9605e-08,2.3603e-05,1.049e-05,3.9339e-05,1.7881e-07,3.5763e-07,6.5148e-05,0.00074542,8.3447e-07,1.2636e-05,0.0006038,5.1498e-05,0.81858,7.8917e-05,1.7881e-07,0.0079328,4.7684e-07,0,2.563e-06,0.17166,4.2915e-06,1.1921e-07,0.011123,4.3809e-05,4.1485e-05,0,0.00015128,0.00058043,0.62686,5.8651e-05,0.00079387,0.091567,0.014839,0.0011455,5.883e-05,0,1.5497e-06,0,9.5367e-07,1.2219e-05,5.9605e-07,0,0.00012416,2.0266e-06,5.9605e-08,7.1526e-07,0.00082755,0.00016248,4.1723e-07,0.99812,0,1.2696e-05,0.99626,0.00032389,3.6955e-06,0,0,3.2902e-05,0,7.1526e-07,3.2187e-06,0.78813,0.0040252,0.96413,0,1.1921e-07,0,2.265e-06,1.1921e-07,0.0021169,0.77607,8.3447e-07,1.5736e-05,0,5.9605e-08,0,0,0.00068355,0.00030464,0,0.0025116,9.5367e-07
"7",5.3167e-05,5.0306e-05,5.0366e-05,1,1.1921e-07,6.5565e-06,0.0094665,1.3113e-06,3.5763e-07,6.9141e-06,0.35205,3.2783e-06,5.6028e-06,1.2875e-05,0.54717,2.9802e-07,1.7881e-07,5.3644e-07,4.1723e-06,0.0063035,0,1.1325e-06,0,1.0133e-06,2.3484e-05,1.8537e-05,0,8.8215e-06,1.6809e-05,2.861e-06,0.048637,1.1921e-07,4.1723e-07,0.82637,2.3246e-06,4.7684e-07,3.5763e-06,6.5565e-07,0.95174,3.5763e-07,8.1539e-05,0.022185,1.7881e-07,0.96438,1.7881e-07,2.3782e-05,1.049e-05,3.9339e-05,1.1921e-07,6.5565e-07,6.5148e-05,0.00074542,9.5367e-07,1.2696e-05,0.00060421,5.1856e-05,0.81858,7.8917e-05,1.7881e-07,0.0079334,4.7684e-07,0,2.6822e-06,0.17041,4.3511e-06,1.1921e-07,0.011123,4.3809e-05,4.1485e-05,1.1921e-07,0.00015146,0.00058049,0.62683,5.8472e-05,0.00080132,0.091561,0.014838,0.0011629,5.877e-05,3.3379e-06,1.5497e-06,1.0133e-05,1.0133e-06,1.2219e-05,4.1723e-07,0,0.00012416,1.9073e-06,0,7.1526e-07,0.00082773,0.00016332,3.5763e-07,0.99705,0,1.2636e-05,0.99627,0.00032228,3.6955e-06,5.9605e-08,1.1921e-07,3.2842e-05,0,7.1526e-07,3.7551e-06,0.78816,0.0040262,0.96416,2.9802e-07,1.1921e-07,5.9605e-08,2.5034e-06,1.1921e-07,0.0021155,0.77604,8.3447e-07,1.5736e-05,4.7684e-07,0,0,4.1723e-07,0.00068343,0.00030458,5.9605e-08,0.0025148,9.5367e-07
"16",4.1962e-05,1.1921e-07,1.1921e-07,1.1921e-07,1,6.5565e-06,0.0094641,1.3113e-06,0,6.9141e-06,0.35207,3.0994e-06,5.5432e-06,1.2755e-05,0.54703,0,1.1921e-07,2.3842e-07,4.1723e-06,0.0063001,0,1.0729e-06,0,9.5367e-07,2.3484e-05,1.8477e-05,0,8.8215e-06,1.6689e-05,2.7418e-06,0.048668,1.1921e-07,3.5763e-07,0.8266,2.265e-06,4.7684e-07,3.5763e-06,4.7684e-07,0.95175,3.5763e-07,8.1539e-05,0.022167,0,0.96439,0,2.3603e-05,1.049e-05,3.9339e-05,1.1921e-07,0,6.5088e-05,0.00074542,8.3447e-07,1.2636e-05,0.00060397,5.1498e-05,0.81858,7.8917e-05,1.1921e-07,0.0079355,4.7684e-07,0,2.5034e-06,0.1711,4.2915e-06,1.1921e-07,0.011123,4.375e-05,4.1664e-05,0,0.00015128,0.00058019,0.62683,5.8293e-05,0.00079376,0.091595,0.014841,0.0011467,5.8532e-05,0,1.5497e-06,0,9.5367e-07,1.2159e-05,2.3842e-07,0,0.0001241,1.9073e-06,0,7.1526e-07,0.00082749,0.00016278,3.5763e-07,0.99959,0,1.2636e-05,0.99628,0.00032175,3.7551e-06,0,0,3.2783e-05,0,7.1526e-07,3.2187e-06,0.78823,0.0040249,0.96414,0,1.1921e-07,0,2.265e-06,1.1921e-07,0.0021167,0.77607,8.3447e-07,1.5736e-05,0,0,0,0,0.00068343,0.00030452,0,0.0025724,9.5367e-07
"18",0.0019885,6.5565e-06,6.5565e-06,6.5565e-06,6.5565e-06,1,0.0094685,1.3113e-06,0,6.9141e-06,0.35206,3.0994e-06,5.4836e-06,1.2755e-05,0.54703,0,1.1921e-07,2.3842e-07,5.1856e-06,0.0063004,0,1.0729e-06,0,9.5367e-07,2.3603e-05,1.8477e-05,0,8.8215e-06,1.657e-05,2.7418e-06,0.04867,1.1921e-07,3.5763e-07,0.82611,2.265e-06,4.7684e-07,6.7353e-06,4.7684e-07,0.95174,3.5763e-07,8.1658e-05,0.022169,0,0.96439,0,2.3603e-05,1.049e-05,3.9339e-05,1.1921e-07,0,6.5088e-05,0.00074536,8.3447e-07,1.2815e-05,0.00060439,5.1737e-05,0.8186,7.8917e-05,1.1921e-07,0.0079322,4.7684e-07,0,2.563e-06,0.18154,4.2915e-06,1.1921e-07,0.01116,4.3869e-05,4.1485e-05,0,0.00015157,0.0005821,0.62685,6.0081e-05,0.00079501,0.09156,0.014839,0.001173,5.8711e-05,0,1.5497e-06,0,9.5367e-07,1.2159e-05,2.3842e-07,0,0.00012541,1.9073e-06,0,7.1526e-07,0.00082749,0.00016248,3.5763e-07,0.99958,0,1.2696e-05,0.99652,0.00032187,3.7551e-06,0,0,3.2842e-05,0,7.1526e-07,3.2187e-06,0.7883,0.0040252,0.96415,0,1.1921e-07,0,2.265e-06,1.1921e-07,0.0021209,0.77602,8.3447e-07,1.5736e-05,0,0,0,0,0.00068361,0.00030446,0,0.002512,9.5367e-07
"19",0.010006,0.0095355,0.0094668,0.0094665,0.0094641,0.0094685,1,4.1246e-05,5.9605e-08,8.9407e-06,0.35217,7.7486e-06,6.4373e-06,1.5497e-05,0.54963,5.9605e-07,7.1526e-07,0.00015676,4.4107e-06,0.0065295,5.3644e-07,0.00033331,5.3644e-07,7.689e-06,0.00026727,2.1338e-05,5.9545e-05,0.00017142,1.7047e-05,1.7345e-05,0.048684,2.0862e-06,8.7619e-06,0.8562,2.563e-06,2.8014e-06,6.4015e-05,4.9472e-06,0.9523,2.4438e-06,8.1897e-05,0.02217,1.1921e-06,0.96458,2.4199e-05,2.3723e-05,1.055e-05,3.9697e-05,2.9802e-07,1.6093e-06,6.9618e-05,0.00076222,2.4438e-06,2.5928e-05,0.00081825,5.1856e-05,0.81888,9.8526e-05,3.2961e-05,0.0079398,1.5497e-06,2.9802e-07,4.1008e-05,0.174,6.9737e-06,5.3644e-07,0.011135,7.3075e-05,0.00016844,4.1723e-07,0.00015211,0.00058055,0.62683,5.8413e-05,0.00079817,0.091668,0.014842,0.0011643,5.883e-05,0.00012064,1.7405e-05,3.0994e-06,1.1325e-06,1.2398e-05,0.00045204,0.00010902,0.000126,2.9802e-06,1.967e-06,7.7486e-07,0.00085235,0.00018609,6.3658e-05,0.99963,3.159e-06,1.3351e-05,0.99631,0.00092065,4.4703e-06,2.3842e-07,3.0398e-05,3.5167e-05,2.3842e-07,8.9407e-07,3.2783e-06,0.78919,0.0040275,0.96424,1.1921e-07,1.7881e-06,4.1008e-05,4.2319e-06,2.2054e-06,0.0021173,0.7773,4.4703e-06,2.1398e-05,1.8597e-05,8.5831e-06,5.3644e-07,7.5996e-05,0.00068456,0.00030887,3.8147e-06,0.0025282,1.0133e-06
"20",3.2783e-06,1.3113e-06,1.3113e-06,1.3113e-06,1.3113e-06,1.3113e-06,4.1246e-05,1,0,6.9141e-06,0.35205,3.0994e-06,5.4836e-06,1.2755e-05,0.54712,0,1.1921e-07,2.3842e-07,4.1723e-06,0.0063249,0,1.0729e-06,0,9.5367e-07,2.3484e-05,1.8477e-05,0,8.8811e-06,1.657e-05,2.7418e-06,0.048634,1.1921e-07,3.5763e-07,0.82643,2.265e-06,4.7684e-07,3.6359e-06,4.7684e-07,0.95213,3.5763e-07,8.1539e-05,0.022173,0,0.96437,0,2.3603e-05,1.055e-05,3.9339e-05,1.1921e-07,0,6.5088e-05,0.00074846,8.3447e-07,1.2696e-05,0.0006038,5.1498e-05,0.81858,7.8917e-05,1.1921e-07,0.0079318,4.7684e-07,0,2.5034e-06,0.17248,4.2915e-06,1.1921e-07,0.011125,4.3809e-05,4.1485e-05,0,0.00015128,0.00058055,0.62684,5.8889e-05,0.00079411,0.091582,0.014847,0.0011462,6.1154e-05,5.9605e-08,1.5497e-06,0,9.5367e-07,1.2159e-05,2.3842e-07,0,0.00012434,1.9073e-06,0,7.1526e-07,0.00082779,0.00016248,3.5763e-07,0.99984,0,1.2636e-05,0.99632,0.00032175,3.6955e-06,0,0,3.2842e-05,0,7.1526e-07,3.2187e-06,0.78951,0.004061,0.96414,0,1.1921e-07,0,2.265e-06,1.1921e-07,0.0021166,0.77602,8.3447e-07,1.5736e-05,4.1723e-07,0,0,0,0.00068748,0.00030446,0,0.0025117,9.5367e-07
"21",1.4782e-05,0,0,3.5763e-07,0,0,5.9605e-08,0,1,6.9141e-06,0.35213,3.0994e-06,5.4836e-06,1.2755e-05,0.54703,0,1.1921e-07,2.3842e-07,4.1723e-06,0.0063011,0,1.0729e-06,0,9.5367e-07,2.3484e-05,1.8537e-05,0,8.8215e-06,1.663e-05,2.7418e-06,0.048632,1.1921e-07,3.5763e-07,0.82616,2.265e-06,4.7684e-07,3.5763e-06,4.7684e-07,0.95199,3.5763e-07,8.1599e-05,0.022171,0,0.96438,0,2.3603e-05,1.049e-05,3.9339e-05,1.1921e-07,0,6.5088e-05,0.00074542,8.3447e-07,1.2755e-05,0.0006038,5.2154e-05,0.81858,7.8917e-05,1.1921e-07,0.0079322,4.7684e-07,0,2.5034e-06,0.17038,4.2915e-06,1.1921e-07,0.011125,4.375e-05,4.1962e-05,0,0.00015128,0.00058168,0.62696,5.8234e-05,0.00079578,0.09179,0.014838,0.0011446,5.8532e-05,0,1.7285e-06,0,9.5367e-07,1.2159e-05,2.3842e-07,0,0.0001241,1.9073e-06,0,7.1526e-07,0.00082821,0.00016248,3.5763e-07,0.99996,0,1.2636e-05,0.99637,0.00032192,3.6955e-06,0,0,3.2842e-05,0,7.1526e-07,3.2187e-06,0.78826,0.0040261,0.96413,0,1.1921e-07,0,2.265e-06,1.1921e-07,0.0021153,0.77608,8.3447e-07,1.5795e-05,0,0,0,0,0.00068355,0.00030452,0,0.0025139,9.5367e-07
