"","1","2","3","8","9","10","11","12","13","14","15","17","26","27","29","31","32","34","35","38","39","40","42","45","46","47","48","49","50","51","54","55","56","57","60","62","63","65","66","68","72","73","74","75","78","81","83","84","87","94","95","99","100","101","102","103","104","105","107","109","110","111","112","113","115","117","118","120","121","123","125","126","127","128","130","132","133","134","138","140","141","142","143","144","145","148","149","151","152","153","156","157","159","160","161","162","163","167","168","169","170","172","174","175","180","181","183","186","187","188","189","191","192","195","197","200","201","204","205","208","209","211","212","213","214","215","217","218","220","222","223","224","226","230","232","238","239","240","241","244","248","251","252","257","258","260","261","262","265","266","267","268","269","272","274","275","276","277","278","279","281","282","284","286","287","288","289","290","291","292","293","295","296","300"
"1",1,0.53624,0.5677,0.56397,0.48546,0.70269,0.60159,0.48927,0.51048,0.56254,0.51464,0.51296,0.67287,0.65709,0.58966,0.52837,0.4785,0.47842,0.51002,0.54497,0.52235,0.48707,0.53773,0.66381,0.44904,0.62657,0.52042,0.49396,0.65985,0.52507,0.38452,0.62964,0.43903,0.58614,0.49727,0.62216,0.55082,0.46657,0.60709,0.41695,0.56755,0.56584,0.48609,0.55326,0.57197,0.50864,0.46678,0.56434,0.52969,0.61366,0.55998,0.45004,0.51855,0.52764,0.40787,0.47089,0.51708,0.48355,0.44268,0.57432,0.69179,0.53658,0.5831,0.56029,0.51793,0.66038,0.50064,0.59924,0.55033,0.51013,0.53954,0.50572,0.53195,0.60614,0.53809,0.60274,0.48212,0.49963,0.62798,0.61797,0.55779,0.51489,0.53162,0.47202,0.45966,0.6157,0.43689,0.50531,0.39693,0.46466,0.51502,0.48961,0.5152,0.50147,0.46161,0.52188,0.45927,0.4543,0.49678,0.46727,0.44013,0.32947,0.36772,0.42735,0.45708,0.54072,0.47058,0.50034,0.4753,0.6233,0.56785,0.39074,0.53583,0.50995,0.72157,0.36572,0.51432,0.60433,0.48544,0.5143,0.62341,0.55623,0.40876,0.45567,0.53929,0.55425,0.47923,0.55141,0.52613,0.4776,0.58837,0.46208,0.619,0.47347,0.61505,0.4257,0.56785,0.55589,0.40342,0.41654,0.51681,0.44915,0.50768,0.42851,0.61798,0.46055,0.52007,0.52941,0.42648,0.53742,0.59973,0.48262,0.46239,0.56353,0.62301,0.38742,0.5259,0.63465,0.63745,0.48444,0.41976,0.62846,0.5325,0.59334,0.42557,0.45715,0.38414,0.60773,0.52301,0.51302,0.37262,0.64408,0.28446,0.54231
"2",0.53624,1,0.45478,0.49958,0.42773,0.56726,0.5261,0.39567,0.49894,0.61509,0.4594,0.39827,0.49646,0.55139,0.45715,0.52064,0.48624,0.53328,0.39615,0.47137,0.54305,0.47653,0.56677,0.64262,0.39223,0.5188,0.48478,0.46383,0.52514,0.4206,0.51313,0.52676,0.50169,0.41307,0.53771,0.65274,0.59379,0.51541,0.54895,0.50558,0.50321,0.5262,0.45343,0.57804,0.55825,0.40198,0.5817,0.58214,0.52272,0.60682,0.57296,0.60279,0.4552,0.51924,0.48409,0.53354,0.66598,0.5254,0.55561,0.47173,0.63607,0.60834,0.51289,0.51414,0.43446,0.48449,0.50275,0.42874,0.51643,0.42567,0.4757,0.40275,0.59641,0.57219,0.51009,0.51762,0.48602,0.35331,0.49797,0.61021,0.62376,0.45257,0.50233,0.53169,0.57483,0.42816,0.40898,0.45369,0.39344,0.41972,0.42045,0.45503,0.51712,0.53843,0.50688,0.38665,0.50399,0.43901,0.49509,0.41378,0.46327,0.35464,0.35045,0.51476,0.49398,0.50964,0.32115,0.60223,0.59284,0.57742,0.62329,0.44779,0.46462,0.47559,0.50543,0.5642,0.53804,0.43447,0.34808,0.49473,0.58161,0.56912,0.54724,0.41231,0.517,0.63406,0.48267,0.55685,0.50162,0.48473,0.53941,0.55588,0.51932,0.56171,0.54391,0.56889,0.47764,0.58439,0.40751,0.50186,0.5338,0.50034,0.45626,0.46988,0.63499,0.60013,0.52703,0.59141,0.6047,0.6755,0.49272,0.46342,0.50323,0.54122,0.57431,0.45375,0.51199,0.58002,0.61664,0.49673,0.50258,0.59374,0.44664,0.62851,0.61663,0.47203,0.5432,0.56112,0.51094,0.44912,0.47856,0.5837,0.31438,0.40583
"3",0.5677,0.45478,1,0.50919,0.44551,0.47397,0.41722,0.5163,0.47704,0.59389,0.53143,0.35678,0.52505,0.67322,0.48965,0.61022,0.57931,0.49351,0.47552,0.44452,0.53479,0.42826,0.53084,0.68283,0.3804,0.44586,0.52928,0.5259,0.58555,0.51228,0.30272,0.58287,0.46864,0.46667,0.45432,0.68008,0.61169,0.41879,0.53366,0.40953,0.61994,0.50625,0.45955,0.50932,0.42953,0.50557,0.55361,0.5622,0.46936,0.54099,0.59394,0.55732,0.37889,0.44501,0.52119,0.50877,0.59348,0.41031,0.38254,0.35293,0.57827,0.45576,0.60531,0.50418,0.45549,0.53983,0.45991,0.50252,0.53543,0.30423,0.4681,0.36762,0.46202,0.63661,0.56116,0.53225,0.30848,0.43578,0.45402,0.69465,0.45696,0.32283,0.49936,0.4262,0.38797,0.47071,0.45969,0.44386,0.29815,0.48949,0.47806,0.40815,0.501,0.35965,0.40354,0.44913,0.49855,0.32501,0.46815,0.4369,0.44017,0.32916,0.40079,0.3483,0.44822,0.47735,0.4385,0.4963,0.47192,0.62084,0.59765,0.42445,0.49253,0.4133,0.56222,0.41944,0.56415,0.51625,0.54971,0.45085,0.56697,0.50093,0.4628,0.33031,0.58157,0.39271,0.43189,0.46678,0.48503,0.58393,0.55004,0.40954,0.47852,0.29371,0.56767,0.45169,0.38136,0.43797,0.45903,0.44657,0.4424,0.42957,0.52444,0.34693,0.59083,0.50985,0.50271,0.44093,0.4018,0.53977,0.54266,0.47943,0.44381,0.50694,0.58635,0.49288,0.58303,0.60935,0.58741,0.46928,0.43547,0.54315,0.55847,0.55513,0.42775,0.3931,0.37047,0.54259,0.39838,0.55224,0.37765,0.56239,0.32572,0.47267
"8",0.56397,0.49958,0.50919,1,0.43995,0.68573,0.53556,0.46289,0.58433,0.58091,0.60838,0.57167,0.49876,0.64167,0.59272,0.37894,0.58146,0.48729,0.36365,0.46179,0.39613,0.399,0.65178,0.63773,0.56818,0.53922,0.47191,0.59943,0.62263,0.50898,0.32967,0.66814,0.52412,0.58916,0.45984,0.67216,0.55752,0.4949,0.53448,0.45444,0.49601,0.52105,0.47452,0.49861,0.60146,0.53756,0.61087,0.43088,0.54805,0.54613,0.49084,0.51314,0.43268,0.50338,0.51946,0.53624,0.68362,0.45771,0.51708,0.45207,0.58064,0.48962,0.52872,0.58542,0.53008,0.71758,0.50098,0.45599,0.52311,0.37946,0.63533,0.48015,0.46968,0.58406,0.5751,0.60568,0.40777,0.45341,0.64032,0.61994,0.61581,0.46082,0.50204,0.45338,0.45089,0.57635,0.37415,0.51213,0.319,0.51848,0.4594,0.52757,0.53136,0.4379,0.45163,0.43605,0.57434,0.47432,0.49315,0.38568,0.54674,0.43989,0.36967,0.41284,0.46621,0.51082,0.51262,0.49531,0.44284,0.6131,0.59041,0.39774,0.46045,0.51768,0.70139,0.40175,0.66633,0.56451,0.39024,0.42475,0.63917,0.50532,0.44897,0.49072,0.52634,0.50258,0.36646,0.65379,0.5247,0.45082,0.52424,0.44928,0.51449,0.47783,0.65916,0.49887,0.52119,0.50898,0.3945,0.48237,0.48005,0.43794,0.51264,0.46658,0.55064,0.46764,0.44124,0.51471,0.467,0.50248,0.58835,0.43008,0.39341,0.58857,0.62116,0.42093,0.51944,0.4951,0.60818,0.50492,0.45932,0.62967,0.52248,0.45065,0.47951,0.43506,0.33791,0.5695,0.56129,0.59091,0.41088,0.53905,0.283,0.52772
"9",0.48546,0.42773,0.44551,0.43995,1,0.62218,0.60736,0.54316,0.49407,0.63121,0.54524,0.41916,0.58708,0.62517,0.50746,0.50667,0.45057,0.49207,0.55307,0.58504,0.45486,0.45021,0.54741,0.71138,0.58549,0.50401,0.48635,0.53329,0.60653,0.4804,0.4815,0.61466,0.51226,0.4478,0.44364,0.69646,0.53065,0.41955,0.6395,0.5331,0.5976,0.50799,0.48625,0.60332,0.5251,0.42336,0.49251,0.5675,0.50169,0.58237,0.60924,0.4235,0.54746,0.45313,0.49819,0.39739,0.59851,0.50615,0.37885,0.52767,0.63779,0.45308,0.44664,0.48575,0.4515,0.72872,0.42315,0.47593,0.57784,0.36845,0.58406,0.46305,0.51527,0.5269,0.47488,0.58298,0.42023,0.57663,0.61703,0.63141,0.49997,0.52094,0.5205,0.44348,0.38553,0.56478,0.41329,0.58437,0.31399,0.47358,0.54517,0.55679,0.42679,0.37918,0.46647,0.27603,0.54065,0.39265,0.55401,0.42646,0.42062,0.40928,0.45946,0.36726,0.49944,0.44124,0.47323,0.50041,0.4185,0.51725,0.56476,0.42256,0.55384,0.54407,0.60883,0.43394,0.54334,0.62058,0.43804,0.4988,0.61985,0.46182,0.4351,0.50724,0.61571,0.48847,0.53829,0.56695,0.58018,0.52702,0.52654,0.39867,0.65187,0.40205,0.55168,0.39525,0.48633,0.52783,0.47993,0.47854,0.58215,0.35911,0.46704,0.4632,0.54479,0.58332,0.43449,0.48806,0.52409,0.58223,0.6109,0.4687,0.3636,0.50234,0.54604,0.45108,0.48828,0.59275,0.56841,0.52353,0.50886,0.51248,0.50259,0.54786,0.47798,0.43981,0.44712,0.55716,0.45955,0.56352,0.38765,0.5762,0.23419,0.57556
"10",0.70269,0.56726,0.47397,0.68573,0.62218,1,0.5885,0.45311,0.59024,0.4918,0.57735,0.47182,0.60901,0.56903,0.62876,0.47907,0.5334,0.6127,0.44054,0.42135,0.58438,0.50055,0.46824,0.59252,0.53336,0.41705,0.53445,0.46774,0.63015,0.45957,0.41102,0.41841,0.48583,0.53805,0.4942,0.50233,0.47395,0.57948,0.52275,0.42415,0.52468,0.47756,0.50332,0.53494,0.72921,0.53179,0.52259,0.49504,0.49278,0.62894,0.56916,0.47711,0.60796,0.5297,0.48125,0.45369,0.56832,0.5871,0.41487,0.52146,0.67401,0.44883,0.65018,0.5909,0.47596,0.6953,0.53463,0.67746,0.56154,0.53902,0.51981,0.43746,0.49429,0.51678,0.4913,0.61754,0.55547,0.50703,0.61385,0.6277,0.60615,0.56183,0.4408,0.4468,0.3949,0.60325,0.40563,0.61282,0.44182,0.57088,0.61006,0.47454,0.60969,0.50454,0.57988,0.52921,0.53818,0.5864,0.47375,0.45824,0.61405,0.52241,0.36493,0.40103,0.43562,0.48151,0.30307,0.54486,0.54853,0.5434,0.49627,0.56991,0.46037,0.51781,0.60394,0.49721,0.61802,0.60285,0.39803,0.47206,0.59376,0.53928,0.42352,0.42755,0.45505,0.50661,0.58045,0.53917,0.52924,0.31097,0.57193,0.46311,0.60596,0.48643,0.49565,0.42967,0.46713,0.49636,0.36318,0.48491,0.53112,0.40038,0.4452,0.45208,0.60235,0.54313,0.40763,0.63221,0.47976,0.51286,0.6041,0.3629,0.46395,0.65524,0.70027,0.61788,0.5026,0.59319,0.65289,0.42601,0.38777,0.54802,0.49011,0.55508,0.46193,0.45683,0.41725,0.48101,0.55354,0.52064,0.40834,0.5321,0.15533,0.41306
"11",0.60159,0.5261,0.41722,0.53556,0.60736,0.5885,1,0.52863,0.52603,0.59295,0.5158,0.55236,0.69004,0.67647,0.6545,0.56738,0.457,0.50741,0.50823,0.58476,0.44696,0.52499,0.61589,0.68264,0.56235,0.52493,0.57416,0.50614,0.58484,0.41624,0.60952,0.64591,0.52713,0.60398,0.5524,0.6694,0.47546,0.38207,0.62931,0.49481,0.56046,0.67866,0.56726,0.64034,0.61239,0.50614,0.46856,0.59192,0.56372,0.65508,0.7326,0.55712,0.54756,0.4859,0.49077,0.49007,0.55844,0.53445,0.53418,0.59413,0.61588,0.58679,0.60146,0.57511,0.54927,0.66982,0.51689,0.48663,0.57796,0.50968,0.54127,0.51658,0.56711,0.58311,0.47876,0.64682,0.56179,0.55932,0.59591,0.62544,0.69892,0.52481,0.56406,0.49944,0.50261,0.65102,0.43423,0.67558,0.41506,0.52109,0.53363,0.57581,0.49987,0.60235,0.46861,0.42432,0.54191,0.49948,0.5355,0.52845,0.60278,0.42106,0.31558,0.47531,0.56306,0.56134,0.40027,0.58706,0.55776,0.54945,0.577,0.39658,0.62376,0.50975,0.76049,0.46802,0.50204,0.55581,0.35453,0.46444,0.65959,0.61293,0.45033,0.5836,0.55712,0.5233,0.57002,0.48598,0.5152,0.49308,0.61097,0.42441,0.66616,0.49431,0.52262,0.43092,0.48343,0.5002,0.40622,0.55481,0.50929,0.41812,0.52286,0.46665,0.60319,0.45553,0.50222,0.55445,0.40091,0.59879,0.52802,0.45404,0.46246,0.56367,0.6414,0.43547,0.54079,0.57346,0.5624,0.53888,0.51127,0.5165,0.59781,0.63328,0.45048,0.45212,0.44871,0.57924,0.57072,0.51036,0.41284,0.65336,0.15638,0.44793
"12",0.48927,0.39567,0.5163,0.46289,0.54316,0.45311,0.52863,1,0.37429,0.51759,0.73741,0.50761,0.58405,0.58654,0.56794,0.45374,0.51038,0.48479,0.41058,0.64384,0.43116,0.47591,0.64695,0.79296,0.61197,0.59619,0.49939,0.69102,0.64858,0.54626,0.38406,0.70376,0.59604,0.59909,0.45416,0.67007,0.56959,0.40019,0.53998,0.51217,0.43849,0.51806,0.52306,0.5625,0.46257,0.56259,0.4341,0.44302,0.52135,0.48666,0.63737,0.48985,0.53055,0.60107,0.50354,0.42313,0.57188,0.51395,0.51141,0.52258,0.61761,0.53371,0.60836,0.50172,0.59827,0.64182,0.57237,0.48659,0.76436,0.34624,0.6524,0.42787,0.48388,0.53846,0.53064,0.55637,0.43265,0.41754,0.61201,0.61027,0.54914,0.39199,0.62323,0.43598,0.4577,0.62769,0.31889,0.55473,0.35911,0.54041,0.52486,0.54661,0.4343,0.43594,0.47631,0.42519,0.51436,0.34414,0.37809,0.46689,0.48347,0.45559,0.4108,0.29668,0.59086,0.56936,0.54225,0.51095,0.55016,0.67595,0.52218,0.40332,0.63039,0.61755,0.5954,0.48917,0.57357,0.58554,0.50234,0.44472,0.60103,0.46174,0.37348,0.49133,0.71015,0.47333,0.43046,0.51214,0.45715,0.56204,0.4558,0.49937,0.65488,0.39888,0.64986,0.44261,0.46148,0.51984,0.5761,0.51223,0.54224,0.36955,0.60493,0.37711,0.64481,0.49925,0.55126,0.4534,0.35909,0.5844,0.57801,0.60021,0.33985,0.54188,0.59647,0.40305,0.57531,0.57806,0.60843,0.56676,0.39504,0.47552,0.51927,0.58024,0.35842,0.41888,0.33736,0.63304,0.39043,0.53734,0.4026,0.61631,0.20058,0.56431
"13",0.51048,0.49894,0.47704,0.58433,0.49407,0.59024,0.52603,0.37429,1,0.67454,0.55839,0.50835,0.59244,0.58473,0.62682,0.5082,0.5477,0.6413,0.51729,0.39493,0.5745,0.57438,0.50753,0.60047,0.49378,0.51672,0.6037,0.47847,0.60266,0.62668,0.59394,0.49288,0.49337,0.51059,0.48565,0.64414,0.62478,0.54754,0.58048,0.41101,0.65967,0.47421,0.42194,0.50755,0.6425,0.49426,0.65663,0.52426,0.50998,0.71705,0.57554,0.5478,0.38011,0.42466,0.46465,0.50682,0.61321,0.52354,0.36226,0.49305,0.50315,0.53145,0.47298,0.51958,0.53085,0.60473,0.50702,0.53656,0.4023,0.55995,0.3952,0.63851,0.5446,0.57605,0.40838,0.52614,0.5056,0.53605,0.70969,0.61446,0.63721,0.54556,0.42393,0.48558,0.48486,0.52474,0.38807,0.56513,0.44567,0.4165,0.56082,0.51159,0.59131,0.52988,0.54593,0.49004,0.58009,0.51538,0.5944,0.40232,0.56455,0.40711,0.3803,0.50156,0.41594,0.5051,0.42444,0.51275,0.53889,0.4725,0.59312,0.56015,0.48898,0.42374,0.7113,0.46703,0.50639,0.63696,0.34586,0.55141,0.60205,0.6558,0.50296,0.45944,0.48721,0.57739,0.53895,0.48158,0.56513,0.44294,0.64119,0.40259,0.52807,0.52378,0.58511,0.5108,0.45513,0.50521,0.395,0.59481,0.49619,0.53574,0.41765,0.52082,0.67523,0.5475,0.50213,0.55269,0.52718,0.61979,0.49634,0.48172,0.44992,0.67627,0.62605,0.49888,0.37592,0.56378,0.6095,0.53712,0.46226,0.5998,0.59868,0.5947,0.52809,0.44748,0.54468,0.51255,0.5504,0.53298,0.46753,0.56212,0.26984,0.49911
