listener_pseudonym,listener_age,listener_gender,listener_language,sample_heard,speaker_ID,speaker_pseudonym,speaker_gender,speaker_age,speaker_dim1_SC,speaker_dim2_SC,speaker_dim3_SC,speaker_dim4_SC,speaker_dim5_SC,speaker_highlow_SC,klanglos,hoch,nicht_nasal,scharf,ungleichmaessig,mit_Akzent,hell,laut,nicht_knarrend,monoton,unangenehm,undeutlich,glatt,heiser,auffaellig,langsam,warm,natuerlich,zittrig,praezise,fest,melodisch,entspannt,gleitend,kurz,gepresst,kraftlos,stockend,hart,unprofessionell,unbetont,schrill,verbunden,behaucht
Rater125,27,w,Deutsch,m088_cayenne_stimulus.wav,088,cayenne,m,28,-3.2339035256007,-1.87157787825104,-1.24085902568907,1.10598349691886,-0.351959851453055,low,23,8,88,26,14,28,48,26,69,90,40,71,28,58,36,92,68,75,61,31,46,29,89,88,12,18,86,12,37,78,74,10,84,68
Rater125,27,w,Deutsch,w008_dakar_stimulus.wav,008,dakar,w,28,5.34742276303931,2.64608611408047,0.258587546163623,0.940732533964769,-0.230511815550934,high,76,62,85,6,22,4,60,35,17,30,15,19,20,93,62,24,85,85,53,55,33,72,64,33,67,18,46,32,12,18,21,6,65,87
Rater125,27,w,Deutsch,w287_dzaoudzi_stimulus.wav,287,dzaoudzi,w,22,-2.68907105149288,-1.42637902157948,-1.08315259783686,0.1187021574416,0.257022941440731,low,39,63,7,61,45,6,62,46,23,48,59,33,28,91,38,50,69,68,65,42,51,33,12,31,67,62,71,57,46,59,73,24,40,88
Rater125,27,w,Deutsch,w094_hakupu_stimulus.wav,094,hakupu,w,27,-2.69221002147058,-2.79068729987086,0.0138654101954491,0.142371612230957,0.237044930389054,low,71,56,32,74,27,20,69,63,11,70,56,59,45,36,42,22,39,63,66,34,39,26,42,63,37,13,50,48,18,52,65,72,33,7
Rater125,27,w,Deutsch,w125_hamhung_stimulus.wav,125,hamhung,w,29,3.73690533934481,2.32549363943227,0.589834108758021,0.04346056519104,-0.738376612561583,high,6,94,91,89,30,4,93,13,69,34,23,18,88,13,92,50,91,94,24,70,66,79,74,63,50,19,34,12,6,33,12,7,86,5
Rater125,27,w,Deutsch,m096_helsinki_stimulus.wav,096,helsinki,m,21,-4.02355475254166,-2.3501511893108,-0.140080814505691,-0.839351906225029,-0.604428747117281,low,86,62,12,76,30,10,82,36,6,92,58,88,83,84,16,61,45,64,79,29,12,15,31,44,51,78,85,73,35,72,77,59,36,66
Rater125,27,w,Deutsch,w262_huambo_stimulus.wav,262,huambo,w,23,-4.2421896463035,-1.45485926377052,-1.1493270357938,0.328524893190515,1.08372333716967,low,82,26,79,22,23,6,36,47,79,69,72,35,21,80,30,44,39,73,28,53,50,18,40,66,20,35,54,39,84,37,80,53,44,89
Rater125,27,w,Deutsch,m071_jamestown_stimulus.wav,071,jamestown,m,30,3.33869937329579,2.03374365196457,0.0948396203210375,-0.0111195595356234,-0.0165373827410111,high,16,41,71,56,56,10,64,69,79,18,16,15,60,56,72,56,66,76,12,85,82,86,64,71,36,7,27,20,34,11,18,48,63,17
Rater125,27,w,Deutsch,w257_nasinu_stimulus.wav,257,nasinu,w,25,3.76805239265524,2.16101869399381,-0.165814742942124,0.606435574990668,0.698991824868082,high,23,30,87,13,69,10,33,81,12,35,36,24,22,60,78,80,60,77,36,78,29,50,40,24,65,74,35,67,53,58,56,64,38,78
Rater125,27,w,Deutsch,w168_philipsburg_stimulus.wav,168,philipsburg,w,33,-2.50813933916135,-1.84484690550718,1.314132757073,-1.18220310255083,0.505491306268622,low,83,14,88,24,12,9,17,50,90,91,70,47,36,20,14,88,45,70,38,35,69,10,27,26,17,74,59,55,28,68,84,36,77,10
Rater125,27,w,Deutsch,m271_portmoresby_stimulus.wav,271,portmoresby,m,27,4.11577136188854,1.53862092818262,-0.738158535457431,0.620822474138685,-0.434037769789476,high,10,94,69,87,27,62,88,87,79,8,26,84,67,44,71,9,87,89,30,72,56,91,78,38,92,14,55,61,6,72,6,47,20,19
Rater125,27,w,Deutsch,w174_reykjavik_stimulus.wav,174,reykjavik,w,25,-4.74594762012869,-2.86630351246831,-0.198634589558281,-0.42269087666458,2.27948887352677,low,81,68,93,8,60,5,60,53,10,85,82,76,14,87,54,90,38,11,82,21,26,13,30,23,22,81,82,54,39,92,86,70,38,91
Rater125,27,w,Deutsch,m280_skopje_stimulus.wav,280,skopje,m,33,-3.20580094914272,-1.86884720114391,-0.263006410154193,-0.0241860336244749,0.706163187799401,low,90,92,88,6,10,63,14,56,82,90,70,69,20,67,46,59,25,81,29,35,71,19,24,35,69,62,86,22,72,71,75,26,32,10
Rater126,31,w,Deutsch,m061_alrayyan_stimulus.wav,061,alrayyan,m,30,3.30993599437689,3.12925746728089,1.15714350982204,0.083813831252448,0.865770773873618,high,24,81,75,39,18,10,66,74,88,12,3,5,79,4,94,22,81,89,18,82,86,74,84,82,46,6,9,15,50,11,6,22,80,19
Rater126,31,w,Deutsch,m263_andorralavella_stimulus.wav,263,andorralavella,m,26,-4.86118596358641,-1.68349991911547,0.13424320175634,-1.04523923922318,-0.502940750627259,low,71,25,46,23,71,72,25,72,87,74,59,60,32,65,28,62,20,20,47,23,41,14,28,41,47,66,26,62,45,66,81,46,31,16
Rater126,31,w,Deutsch,m171_barentsburg_stimulus.wav,171,barentsburg,m,34,-5.17597912751978,-2.54600791976611,-0.031072840709078,-0.0548962036007055,2.55167482752809,low,87,15,28,2,70,86,32,34,88,98,77,26,35,74,4,96,23,18,12,20,71,3,76,50,5,22,95,57,24,79,96,17,82,2
Rater126,31,w,Deutsch,m097_basseterre_stimulus.wav,097,basseterre,m,26,3.32596862707304,2.39731522893122,1.05451378492742,0.353837896092204,1.08525587950142,high,0,62,82,59,4,5,72,64,98,2,0,0,87,4,88,53,92,100,6,98,87,90,88,84,56,3,16,10,53,18,2,28,75,50
Rater126,31,w,Deutsch,w040_birmingham_stimulus.wav,040,birmingham,w,29,2.80689932575019,1.6389033597806,0.611937172865551,1.09080940993386,0.190048139901153,high,23,39,97,38,8,2,48,69,99,5,3,2,79,28,81,56,99,95,3,92,79,99,92,94,31,24,21,18,5,13,2,6,81,24
Rater126,31,w,Deutsch,m041_bucharest_stimulus.wav,041,bucharest,m,24,3.29284875976714,2.62051489758557,1.27680865178257,0.203365411523213,-0.195756739639662,high,32,12,82,43,24,16,51,77,80,18,6,7,57,19,80,40,87,89,14,90,85,82,86,73,58,6,28,20,47,11,7,30,73,30
Rater126,31,w,Deutsch,w240_casablanca_stimulus.wav,240,casablanca,w,23,3.21165706806201,1.48603941087551,-0.0234111476928667,0.717674566166692,-0.786731963358147,high,32,68,95,62,13,6,66,70,90,5,5,0,76,23,82,32,38,79,17,78,88,70,26,81,76,60,5,23,76,5,21,84,24,4
Rater126,31,w,Deutsch,m088_cayenne_stimulus.wav,088,cayenne,m,28,-3.2339035256007,-1.87157787825104,-1.24085902568907,1.10598349691886,-0.351959851453055,low,98,16,30,10,66,32,17,45,96,84,61,21,54,37,3,100,42,38,19,44,25,2,98,59,0,12,96,47,21,77,95,0,91,78
Rater126,31,w,Deutsch,w008_dakar_stimulus.wav,008,dakar,w,28,5.34742276303931,2.64608611408047,0.258587546163623,0.940732533964769,-0.230511815550934,high,30,82,74,72,32,30,70,75,88,12,13,12,77,31,83,13,61,73,19,66,72,72,11,73,73,64,33,36,60,35,32,63,62,10
Rater126,31,w,Deutsch,w287_dzaoudzi_stimulus.wav,287,dzaoudzi,w,22,-2.68907105149288,-1.42637902157948,-1.08315259783686,0.1187021574416,0.257022941440731,low,24,69,89,60,72,17,73,74,93,45,37,32,78,71,61,28,60,74,63,60,29,57,20,18,63,62,58,43,26,60,59,38,25,21
Rater126,31,w,Deutsch,w094_hakupu_stimulus.wav,094,hakupu,w,27,-2.69221002147058,-2.79068729987086,0.0138654101954491,0.142371612230957,0.237044930389054,low,43,43,24,37,66,100,61,75,98,57,71,82,47,42,93,46,38,26,20,58,71,33,28,23,66,74,46,39,60,82,24,59,34,31
Rater126,31,w,Deutsch,w125_hamhung_stimulus.wav,125,hamhung,w,29,3.73690533934481,2.32549363943227,0.589834108758021,0.04346056519104,-0.738376612561583,high,23,81,64,61,22,7,74,68,94,25,14,21,72,26,84,16,75,80,29,79,78,78,35,73,66,55,34,26,67,32,12,60,33,21
Rater126,31,w,Deutsch,m096_helsinki_stimulus.wav,096,helsinki,m,21,-4.02355475254166,-2.3501511893108,-0.140080814505691,-0.839351906225029,-0.604428747117281,low,98,37,17,35,34,74,33,79,30,94,73,70,39,44,20,67,6,26,45,34,67,13,36,38,63,63,93,29,30,70,96,36,31,31
Rater126,31,w,Deutsch,w262_huambo_stimulus.wav,262,huambo,w,23,-4.2421896463035,-1.45485926377052,-1.1493270357938,0.328524893190515,1.08372333716967,low,68,35,68,25,68,35,44,34,88,67,56,36,63,22,39,29,29,71,20,71,50,27,23,31,73,65,53,61,38,64,58,59,29,19
Rater126,31,w,Deutsch,m071_jamestown_stimulus.wav,071,jamestown,m,30,3.33869937329579,2.03374365196457,0.0948396203210375,-0.0111195595356234,-0.0165373827410111,high,67,64,26,28,33,24,70,93,74,43,31,25,69,28,66,50,84,78,2,72,72,80,57,66,67,22,27,32,42,47,33,42,67,4
Rater126,31,w,Deutsch,w257_nasinu_stimulus.wav,257,nasinu,w,25,3.76805239265524,2.16101869399381,-0.165814742942124,0.606435574990668,0.698991824868082,high,32,20,70,39,22,2,70,70,100,2,0,15,36,21,85,35,74,75,25,76,77,98,92,70,52,16,25,34,35,25,27,34,66,35
Rater126,31,w,Deutsch,w168_philipsburg_stimulus.wav,168,philipsburg,w,33,-2.50813933916135,-1.84484690550718,1.314132757073,-1.18220310255083,0.505491306268622,low,39,21,28,18,29,8,4,58,93,47,29,18,71,37,37,94,62,68,19,74,70,35,97,74,22,20,47,24,28,26,70,20,72,67
Rater126,31,w,Deutsch,m271_portmoresby_stimulus.wav,271,portmoresby,m,27,4.11577136188854,1.53862092818262,-0.738158535457431,0.620822474138685,-0.434037769789476,high,20,74,76,59,24,32,73,91,90,18,23,38,68,39,74,7,69,77,31,28,24,69,21,25,64,65,28,65,54,65,27,57,34,31
Rater126,31,w,Deutsch,w174_reykjavik_stimulus.wav,174,reykjavik,w,25,-4.74594762012869,-2.86630351246831,-0.198634589558281,-0.42269087666458,2.27948887352677,low,63,38,69,28,65,76,37,64,89,91,84,22,36,60,9,90,31,42,30,70,71,3,38,66,40,60,71,42,36,70,87,20,56,16
Rater126,31,w,Deutsch,m280_skopje_stimulus.wav,280,skopje,m,33,-3.20580094914272,-1.86884720114391,-0.263006410154193,-0.0241860336244749,0.706163187799401,low,71,9,70,6,26,95,32,61,97,72,54,27,67,60,31,74,27,68,14,24,71,25,30,75,25,62,54,55,24,60,66,50,35,0
Rater127,20,m,Deutsch,m061_alrayyan_stimulus.wav,061,alrayyan,m,30,3.30993599437689,3.12925746728089,1.15714350982204,0.083813831252448,0.865770773873618,high,91,21,52,72,5,7,18,58,93,89,42,17,12,6,30,62,8,53,7,69,92,12,70,37,58,21,36,36,82,11,73,49,42,40
Rater127,20,m,Deutsch,m263_andorralavella_stimulus.wav,263,andorralavella,m,26,-4.86118596358641,-1.68349991911547,0.13424320175634,-1.04523923922318,-0.502940750627259,low,80,45,63,19,18,54,45,55,88,82,63,29,35,40,42,50,25,62,71,45,14,10,36,14,15,77,80,66,66,65,38,27,25,64
Rater127,20,m,Deutsch,m171_barentsburg_stimulus.wav,171,barentsburg,m,34,-5.17597912751978,-2.54600791976611,-0.031072840709078,-0.0548962036007055,2.55167482752809,low,60,43,36,8,14,33,9,38,60,79,73,42,1,58,27,68,3,32,21,70,78,6,8,24,15,70,71,76,92,70,81,62,13,66
Rater127,20,m,Deutsch,m097_basseterre_stimulus.wav,097,basseterre,m,26,3.32596862707304,2.39731522893122,1.05451378492742,0.353837896092204,1.08525587950142,high,62,58,81,59,40,10,72,60,79,36,35,29,76,13,58,49,57,83,24,92,64,58,80,88,55,28,58,30,38,33,40,10,56,50
Rater127,20,m,Deutsch,w040_birmingham_stimulus.wav,040,birmingham,w,29,2.80689932575019,1.6389033597806,0.611937172865551,1.09080940993386,0.190048139901153,high,40,57,64,72,20,12,62,44,81,50,46,37,70,25,16,34,61,52,20,46,61,29,76,66,77,12,46,62,25,44,24,42,31,22
Rater127,20,m,Deutsch,m041_bucharest_stimulus.wav,041,bucharest,m,24,3.29284875976714,2.62051489758557,1.27680865178257,0.203365411523213,-0.195756739639662,high,42,31,30,40,34,8,60,54,92,33,59,40,29,52,45,54,45,83,60,58,38,23,31,39,58,31,40,57,62,29,52,52,37,67
Rater127,20,m,Deutsch,w240_casablanca_stimulus.wav,240,casablanca,w,23,3.21165706806201,1.48603941087551,-0.0234111476928667,0.717674566166692,-0.786731963358147,high,41,82,17,40,31,15,54,65,79,58,47,16,18,24,38,36,54,64,26,82,73,23,64,54,56,54,42,32,34,24,36,23,47,29
Rater127,20,m,Deutsch,m088_cayenne_stimulus.wav,088,cayenne,m,28,-3.2339035256007,-1.87157787825104,-1.24085902568907,1.10598349691886,-0.351959851453055,low,98,48,88,12,20,16,70,94,86,94,86,67,24,19,92,92,27,22,75,17,27,6,96,15,6,4,97,70,12,98,66,3,20,76
Rater127,20,m,Deutsch,w008_dakar_stimulus.wav,008,dakar,w,28,5.34742276303931,2.64608611408047,0.258587546163623,0.940732533964769,-0.230511815550934,high,26,85,75,28,77,10,82,72,80,31,42,22,77,18,61,26,37,70,31,23,66,86,85,88,72,23,19,10,18,58,14,4,67,54
Rater127,20,m,Deutsch,w287_dzaoudzi_stimulus.wav,287,dzaoudzi,w,22,-2.68907105149288,-1.42637902157948,-1.08315259783686,0.1187021574416,0.257022941440731,low,74,57,77,31,27,58,45,36,84,84,47,65,19,21,30,54,38,40,36,22,29,12,66,16,57,50,54,69,42,70,74,40,26,56
Rater127,20,m,Deutsch,w094_hakupu_stimulus.wav,094,hakupu,w,27,-2.69221002147058,-2.79068729987086,0.0138654101954491,0.142371612230957,0.237044930389054,low,29,84,79,18,68,18,94,72,92,10,100,62,4,54,97,30,13,10,26,16,50,62,32,53,25,88,22,41,48,92,20,95,19,70
Rater127,20,m,Deutsch,w125_hamhung_stimulus.wav,125,hamhung,w,29,3.73690533934481,2.32549363943227,0.589834108758021,0.04346056519104,-0.738376612561583,high,66,70,69,88,19,4,78,50,89,68,25,6,65,8,31,29,35,35,15,70,65,24,63,58,65,40,59,22,35,11,35,14,20,64
Rater127,20,m,Deutsch,m096_helsinki_stimulus.wav,096,helsinki,m,21,-4.02355475254166,-2.3501511893108,-0.140080814505691,-0.839351906225029,-0.604428747117281,low,83,65,58,5,17,20,62,54,38,99,60,48,28,37,17,58,31,54,57,36,4,22,10,22,70,14,72,94,22,60,72,26,3,51
Rater127,20,m,Deutsch,w262_huambo_stimulus.wav,262,huambo,w,23,-4.2421896463035,-1.45485926377052,-1.1493270357938,0.328524893190515,1.08372333716967,low,29,44,75,89,15,23,57,59,88,66,24,8,47,22,20,48,57,68,15,97,63,44,72,69,38,27,29,29,31,31,60,15,61,78
Rater127,20,m,Deutsch,m071_jamestown_stimulus.wav,071,jamestown,m,30,3.33869937329579,2.03374365196457,0.0948396203210375,-0.0111195595356234,-0.0165373827410111,high,20,54,90,55,26,4,86,82,87,36,23,25,81,14,12,27,61,85,15,77,78,72,68,75,47,9,27,14,9,25,35,19,76,28
Rater127,20,m,Deutsch,w257_nasinu_stimulus.wav,257,nasinu,w,25,3.76805239265524,2.16101869399381,-0.165814742942124,0.606435574990668,0.698991824868082,high,22,55,81,72,20,17,78,62,70,32,11,7,86,6,64,46,81,44,15,78,88,88,64,92,62,41,11,31,14,10,8,7,69,78
Rater127,20,m,Deutsch,w168_philipsburg_stimulus.wav,168,philipsburg,w,33,-2.50813933916135,-1.84484690550718,1.314132757073,-1.18220310255083,0.505491306268622,low,66,45,65,23,29,6,66,59,96,74,40,13,31,7,8,45,47,56,33,56,60,21,36,44,45,18,43,33,33,30,44,30,37,26
Rater127,20,m,Deutsch,m271_portmoresby_stimulus.wav,271,portmoresby,m,27,4.11577136188854,1.53862092818262,-0.738158535457431,0.620822474138685,-0.434037769789476,high,68,83,74,28,16,14,90,45,81,22,64,64,63,6,73,44,69,71,90,40,10,81,22,19,2,34,24,92,5,78,13,73,90,58
Rater127,20,m,Deutsch,w174_reykjavik_stimulus.wav,174,reykjavik,w,25,-4.74594762012869,-2.86630351246831,-0.198634589558281,-0.42269087666458,2.27948887352677,low,76,50,13,26,10,36,20,38,76,94,84,37,10,25,31,69,6,26,71,26,13,3,14,16,50,61,74,79,90,75,86,73,38,64
Rater127,20,m,Deutsch,m280_skopje_stimulus.wav,280,skopje,m,33,-3.20580094914272,-1.86884720114391,-0.263006410154193,-0.0241860336244749,0.706163187799401,low,76,44,14,21,12,60,74,52,76,76,66,61,43,53,68,72,27,59,71,54,29,17,46,10,30,33,79,86,61,79,32,46,5,94
Rater128,26,w, Deutsch,m061_alrayyan_stimulus.wav,061,alrayyan,m,30,3.30993599437689,3.12925746728089,1.15714350982204,0.083813831252448,0.865770773873618,high,0,47,94,76,3,5,79,98,95,19,4,2,99,3,2,72,90,98,3,96,85,95,95,77,47,2,2,2,3,44,30,13,55,53
Rater128,26,w, Deutsch,m263_andorralavella_stimulus.wav,263,andorralavella,m,26,-4.86118596358641,-1.68349991911547,0.13424320175634,-1.04523923922318,-0.502940750627259,low,92,46,2,4,23,2,2,98,100,97,97,0,70,1,1,4,2,36,2,49,72,4,4,88,47,100,100,17,98,45,97,74,28,44
Rater128,26,w, Deutsch,m171_barentsburg_stimulus.wav,171,barentsburg,m,34,-5.17597912751978,-2.54600791976611,-0.031072840709078,-0.0548962036007055,2.55167482752809,low,2,12,49,100,0,0,49,100,100,30,13,1,74,2,2,46,58,80,3,96,98,71,72,76,46,3,2,3,69,50,44,43,46,27
Rater128,26,w, Deutsch,m097_basseterre_stimulus.wav,097,basseterre,m,26,3.32596862707304,2.39731522893122,1.05451378492742,0.353837896092204,1.08525587950142,high,0,100,100,100,0,4,97,61,96,4,0,3,74,3,54,35,84,68,5,50,59,98,100,69,45,3,8,6,25,30,10,80,45,42
Rater128,26,w, Deutsch,w040_birmingham_stimulus.wav,040,birmingham,w,29,2.80689932575019,1.6389033597806,0.611937172865551,1.09080940993386,0.190048139901153,high,79,100,100,15,42,0,63,60,99,79,64,1,80,2,54,56,57,35,47,6,63,24,22,56,41,64,71,71,63,63,74,75,46,45
Rater128,26,w, Deutsch,m041_bucharest_stimulus.wav,041,bucharest,m,24,3.29284875976714,2.62051489758557,1.27680865178257,0.203365411523213,-0.195756739639662,high,33,98,8,76,10,1,34,96,100,62,53,3,98,5,4,2,35,67,19,98,47,18,21,86,45,82,100,57,96,84,70,78,44,22
Rater128,26,w, Deutsch,w240_casablanca_stimulus.wav,240,casablanca,w,23,3.21165706806201,1.48603941087551,-0.0234111476928667,0.717674566166692,-0.786731963358147,high,0,100,0,68,85,0,71,80,20,28,20,1,80,13,53,44,70,71,9,79,59,58,100,96,46,2,15,11,32,34,0,16,53,56
Rater128,26,w, Deutsch,m088_cayenne_stimulus.wav,088,cayenne,m,28,-3.2339035256007,-1.87157787825104,-1.24085902568907,1.10598349691886,-0.351959851453055,low,100,100,0,2,68,1,19,55,98,100,96,20,16,11,78,46,18,24,44,55,14,14,2,18,53,98,90,70,97,96,78,78,42,54
Rater128,26,w, Deutsch,w008_dakar_stimulus.wav,008,dakar,w,28,5.34742276303931,2.64608611408047,0.258587546163623,0.940732533964769,-0.230511815550934,high,0,100,100,100,10,100,66,66,97,11,30,3,92,4,75,53,69,21,0,96,100,74,25,96,45,78,12,13,77,71,73,96,56,50
Rater128,26,w, Deutsch,w287_dzaoudzi_stimulus.wav,287,dzaoudzi,w,22,-2.68907105149288,-1.42637902157948,-1.08315259783686,0.1187021574416,0.257022941440731,low,100,4,0,1,33,2,17,46,98,85,98,37,4,97,88,50,30,18,85,13,9,10,11,14,54,86,88,88,78,80,75,75,50,47
Rater128,26,w, Deutsch,w094_hakupu_stimulus.wav,094,hakupu,w,27,-2.69221002147058,-2.79068729987086,0.0138654101954491,0.142371612230957,0.237044930389054,low,100,100,2,2,81,82,4,77,99,97,95,93,6,90,89,18,30,17,86,9,15,84,79,11,46,87,87,86,40,100,38,88,54,50
